Source,Target,Weight,Direction of correlation,Correlation P-value,PD-associated
Bifidobacterium_catenulatum,Atopobium_rimae,0.0674,+,0.006,No
Bifidobacterium_catenulatum,Atopobium_vaginae,0.0386,+,0.016,No
Bifidobacterium_catenulatum,Olsenella_profusa,0.051,+,0.004,No
Bifidobacterium_catenulatum,Olsenella_scatoligenes,0.0287,+,0.032,No
Bifidobacterium_catenulatum,Olsenella_uli,0.0424,+,0.01,No
Bifidobacterium_catenulatum,Collinsella_aerofaciens,0.0886,-,0.01,No
Bifidobacterium_catenulatum,Collinsella_massiliensis,0.1053,-,0.001,Yes
Bifidobacterium_catenulatum,Adlercreutzia_equolifaciens,0.0694,-,0.02,No
Bifidobacterium_catenulatum,Asaccharobacter_celatus,0.0697,-,0.029,No
Bifidobacterium_catenulatum,Denitrobacterium_detoxificans,0.0518,+,0.008,No
Bifidobacterium_catenulatum,Enterorhabdus_caecimuris,0.0894,-,0.004,No
Bifidobacterium_catenulatum,Bacteroides_cellulosilyticus,0.0604,-,0.042,No
Bifidobacterium_catenulatum,Bacteroides_clarus,0.034,+,0.037,No
Bifidobacterium_catenulatum,Bacteroides_coprophilus,0.075,+,0.012,No
Bifidobacterium_catenulatum,Bacteroides_dorei,0.0655,-,0.033,No
Bifidobacterium_catenulatum,Bacteroides_massiliensis,0.0736,-,0.019,No
Bifidobacterium_catenulatum,Bacteroides_sartorii,0.0536,+,0.01,No
Bifidobacterium_catenulatum,Bacteroides_sp_CAG_144,0.0393,+,0.038,No
Bifidobacterium_catenulatum,Bacteroides_sp_CAG_530,0.0552,+,0.005,No
Bifidobacterium_catenulatum,Bacteroides_sp_D2,0.0631,+,0.021,No
Bifidobacterium_catenulatum,Bacteroides_stercorirosoris,0.0427,+,0.007,No
Bifidobacterium_catenulatum,Bacteroides_thetaiotaomicron,0.0863,-,0.01,No
Bifidobacterium_catenulatum,Barnesiella_intestinihominis,0.0608,-,0.029,No
Bifidobacterium_catenulatum,Barnesiella_viscericola,0.0688,+,0.003,No
Bifidobacterium_catenulatum,Dysgonomonas_gadei,0.0714,+,0.003,No
Bifidobacterium_catenulatum,Muribaculum_intestinale,0.0655,+,0.003,No
Bifidobacterium_catenulatum,Butyricimonas_synergistica,0.0647,-,0.024,No
Bifidobacterium_catenulatum,Butyricimonas_virosa,0.088,-,0.006,No
Bifidobacterium_catenulatum,Odoribacter_splanchnicus,0.1134,-,0.001,No
Bifidobacterium_catenulatum,Porphyromonas_sp_HMSC065F10,0.0579,+,0.012,No
Bifidobacterium_catenulatum,Porphyromonas_uenonis,0.0439,+,0.005,No
Bifidobacterium_catenulatum,Sanguibacteroides_justesenii,0.071,+,0.005,No
Bifidobacterium_catenulatum,Prevotella_bivia,0.0507,+,0.027,No
Bifidobacterium_catenulatum,Prevotella_buccae,0.0808,+,0.005,No
Bifidobacterium_catenulatum,Prevotella_buccalis,0.0548,+,0.015,No
Bifidobacterium_catenulatum,Prevotella_disiens,0.0695,+,0.01,No
Bifidobacterium_catenulatum,Prevotella_sp_885,0.0642,+,0.01,No
Bifidobacterium_catenulatum,Prevotella_sp_AM42_24,0.0402,+,0.016,No
Bifidobacterium_catenulatum,Prevotella_sp_CAG_1185,0.032,+,0.035,No
Bifidobacterium_catenulatum,Prevotella_sp_CAG_1320,0.062,+,0.007,No
Bifidobacterium_catenulatum,Prevotella_sp_CAG_520,0.0572,+,0.011,No
Bifidobacterium_catenulatum,Prevotella_sp_CAG_5226,0.0664,+,0.007,No
Bifidobacterium_catenulatum,Prevotella_sp_CAG_873,0.063,+,0.005,No
Bifidobacterium_catenulatum,Prevotella_sp_CAG_891,0.0268,+,0.02,No
Bifidobacterium_catenulatum,Prevotella_timonensis,0.0593,+,0.033,No
Bifidobacterium_catenulatum,Alistipes_finegoldii,0.0664,-,0.029,Yes
Bifidobacterium_catenulatum,Alistipes_indistinctus,0.0599,-,0.03,Yes
Bifidobacterium_catenulatum,Alistipes_putredinis,0.1393,-,0.001,No
Bifidobacterium_catenulatum,Alistipes_shahii,0.117,-,0.001,No
Bifidobacterium_catenulatum,Alistipes_sp_An31A,0.0945,+,0.005,No
Bifidobacterium_catenulatum,Alistipes_sp_An66,0.0739,+,0.005,No
Bifidobacterium_catenulatum,Alistipes_sp_CAG_831,0.0586,+,0.025,No
Bifidobacterium_catenulatum,Parabacteroides_distasonis,0.0636,-,0.039,Yes
Bifidobacterium_catenulatum,Parabacteroides_gordonii,0.0368,+,0.04,No
Bifidobacterium_catenulatum,Parabacteroides_merdae,0.1076,-,0.003,No
Bifidobacterium_catenulatum,Parabacteroides_sp_426_9,0.0609,+,0.006,No
Bifidobacterium_catenulatum,Parabacteroides_sp_CAG_409,0.0295,+,0.033,No
Bifidobacterium_catenulatum,Candidatus_Gastranaerophilales_bacterium,0.0683,+,0.015,No
Bifidobacterium_catenulatum,Bacillus_coagulans,0.0654,+,0.005,No
Bifidobacterium_catenulatum,Bacillus_horneckiae,0.0856,+,0.007,No
Bifidobacterium_catenulatum,Gemella_haemolysans,0.062,+,0.024,No
Bifidobacterium_catenulatum,Staphylococcus_aureus,0.0624,+,0.009,No
Bifidobacterium_catenulatum,Staphylococcus_epidermidis,0.0655,+,0.009,No
Bifidobacterium_catenulatum,Granulicatella_elegans,0.0676,+,0.004,No
Bifidobacterium_catenulatum,Enterococcus_avium,0.0803,+,0.002,Yes
Bifidobacterium_catenulatum,Enterococcus_casseliflavus,0.2257,+,0.001,No
Bifidobacterium_catenulatum,Enterococcus_faecium,0.0438,+,0.044,Yes
Bifidobacterium_catenulatum,Enterococcus_gallinarum,0.0739,+,0.013,No
Bifidobacterium_catenulatum,Enterococcus_raffinosus,0.0749,+,0.006,No
Bifidobacterium_catenulatum,Lactobacillus_acidophilus,0.0676,+,0.003,No
Bifidobacterium_catenulatum,Lactobacillus_algidus,0.0529,+,0.01,No
Bifidobacterium_catenulatum,Lactobacillus_amylovorus,0.0653,+,0.006,No
Bifidobacterium_catenulatum,Lactobacillus_animalis,0.033,+,0.047,No
Bifidobacterium_catenulatum,Lactobacillus_crispatus,0.0422,+,0.01,No
Bifidobacterium_catenulatum,Lactobacillus_delbrueckii,0.0496,+,0.024,No
Bifidobacterium_catenulatum,Lactobacillus_farciminis,0.0732,+,0.004,No
Bifidobacterium_catenulatum,Lactobacillus_fuchuensis,0.082,+,0.005,No
Bifidobacterium_catenulatum,Lactobacillus_gasseri,0.0227,+,0.043,Yes
Bifidobacterium_catenulatum,Lactobacillus_helveticus,0.0787,+,0.004,No
Bifidobacterium_catenulatum,Lactobacillus_johnsonii,0.0541,+,0.018,No
Bifidobacterium_catenulatum,Lactobacillus_kalixensis,0.0598,+,0.01,No
Bifidobacterium_catenulatum,Lactobacillus_mucosae,0.084,+,0.01,No
Bifidobacterium_catenulatum,Lactobacillus_oris,0.033,+,0.016,No
Bifidobacterium_catenulatum,Lactobacillus_pentosus,0.0686,+,0.004,No
Bifidobacterium_catenulatum,Lactobacillus_plantarum,0.0658,+,0.034,No
Bifidobacterium_catenulatum,Lactobacillus_reuteri,0.0264,+,0.043,Yes
Bifidobacterium_catenulatum,Lactobacillus_sakei,0.0388,+,0.013,No
Bifidobacterium_catenulatum,Pediococcus_acidilactici,0.0723,+,0.016,No
Bifidobacterium_catenulatum,Pediococcus_argentinicus,0.0574,+,0.004,No
Bifidobacterium_catenulatum,Leuconostoc_carnosum,0.0609,+,0.003,No
Bifidobacterium_catenulatum,Leuconostoc_citreum,0.046,+,0.012,No
Bifidobacterium_catenulatum,Leuconostoc_gelidum,0.0448,+,0.031,No
Bifidobacterium_catenulatum,Leuconostoc_lactis,0.0568,+,0.005,No
Bifidobacterium_catenulatum,Leuconostoc_mesenteroides,0.0475,+,0.02,No
Bifidobacterium_catenulatum,Weissella_cibaria,0.0478,+,0.021,No
Bifidobacterium_catenulatum,Streptococcus_agalactiae,0.0525,+,0.006,No
Bifidobacterium_catenulatum,Streptococcus_australis,0.0588,-,0.046,Yes
Bifidobacterium_catenulatum,Streptococcus_cristatus,0.0372,+,0.021,No
Bifidobacterium_catenulatum,Streptococcus_downei,0.0635,+,0.007,No
Bifidobacterium_catenulatum,Streptococcus_gordonii,0.0883,-,0.009,No
Bifidobacterium_catenulatum,Streptococcus_infantarius,0.0743,+,0.006,No
Bifidobacterium_catenulatum,Streptococcus_milleri,0.0464,+,0.011,No
Bifidobacterium_catenulatum,Streptococcus_parasanguinis,0.1216,-,0.001,No
Bifidobacterium_catenulatum,Streptococcus_pasteurianus,0.0601,+,0.023,No
Bifidobacterium_catenulatum,Streptococcus_salivarius,0.1016,-,0.012,No
Bifidobacterium_catenulatum,Streptococcus_sobrinus,0.068,+,0.008,No
Bifidobacterium_catenulatum,Streptococcus_sp_HMSC071D03,0.0704,+,0.009,No
Bifidobacterium_catenulatum,Streptococcus_sp_HPH0090,0.0549,+,0.011,No
Bifidobacterium_catenulatum,Streptococcus_viridans,0.0694,+,0.006,No
Bifidobacterium_catenulatum,Butyricicoccus_porcorum,0.0697,+,0.005,No
Bifidobacterium_catenulatum,Butyricicoccus_pullicaecorum,0.1306,+,0.004,Yes
Bifidobacterium_catenulatum,Butyribacterium_methylotrophicum,0.0373,+,0.018,No
Bifidobacterium_catenulatum,Clostridium_butyricum,0.0998,+,0.005,No
Bifidobacterium_catenulatum,Clostridium_cadaveris,0.0791,+,0.009,No
Bifidobacterium_catenulatum,Clostridium_celatum,0.0574,+,0.01,No
Bifidobacterium_catenulatum,Clostridium_paraputrificum,0.0589,+,0.013,No
Bifidobacterium_catenulatum,Clostridium_perfringens,0.0549,+,0.025,No
Bifidobacterium_catenulatum,Clostridium_sp_CAG_411,0.0552,+,0.007,No
Bifidobacterium_catenulatum,Clostridium_sp_CAG_413,0.0249,+,0.018,No
Bifidobacterium_catenulatum,Clostridium_sp_CAG_632,0.0688,+,0.005,No
Bifidobacterium_catenulatum,Clostridium_sp_chh4_2,0.0484,+,0.044,No
Bifidobacterium_catenulatum,Clostridium_sp_D5,0.0503,+,0.019,No
Bifidobacterium_catenulatum,Clostridium_ventriculi,0.0735,+,0.006,No
Bifidobacterium_catenulatum,Eubacterium_sulci,0.0245,+,0.046,No
Bifidobacterium_catenulatum,Mogibacterium_timidum,0.0641,+,0.006,No
Bifidobacterium_catenulatum,Bacteroides_pectinophilus,0.0388,+,0.011,No
Bifidobacterium_catenulatum,Clostridiales_bacterium_CHKCI001,0.0725,+,0.002,No
Bifidobacterium_catenulatum,Clostridiales_bacterium_CHKCI006,0.0653,+,0.004,No
Bifidobacterium_catenulatum,Intestinimonas_butyriciproducens,0.0611,-,0.029,No
Bifidobacterium_catenulatum,Lawsonibacter_asaccharolyticus,0.1106,-,0.002,No
Bifidobacterium_catenulatum,Eubacteriaceae_bacterium_CHKCI005,0.0476,+,0.029,No
Bifidobacterium_catenulatum,Eubacterium_eligens,0.0842,-,0.004,Yes
Bifidobacterium_catenulatum,Eubacterium_sp_An11,0.0595,+,0.015,No
Bifidobacterium_catenulatum,Eubacterium_sp_CAG_38,0.063,-,0.024,Yes
Bifidobacterium_catenulatum,Pseudoramibacter_alactolyticus,0.0589,+,0.005,No
Bifidobacterium_catenulatum,Anaerosporobacter_mobilis,0.0738,+,0.004,No
Bifidobacterium_catenulatum,Anaerostipes_sp_494a,0.0618,+,0.005,No
Bifidobacterium_catenulatum,Blautia_hansenii,0.1205,+,0.002,Yes
Bifidobacterium_catenulatum,Blautia_sp_CAG_257,0.0667,+,0.03,No
Bifidobacterium_catenulatum,Ruminococcus_gnavus,0.0899,+,0.003,No
Bifidobacterium_catenulatum,Butyrivibrio_sp_CAG_318,0.0401,+,0.008,No
Bifidobacterium_catenulatum,Dorea_formicigenerans,0.0982,-,0.001,No
Bifidobacterium_catenulatum,Dorea_sp_D27,0.0653,+,0.003,No
Bifidobacterium_catenulatum,Eisenbergiella_tayi,0.0557,-,0.037,Yes
Bifidobacterium_catenulatum,Faecalicatena_orotica,0.0296,+,0.033,No
Bifidobacterium_catenulatum,Clostridium_clostridioforme,0.0672,+,0.027,No
Bifidobacterium_catenulatum,Clostridium_hylemonae,0.0527,+,0.018,Yes
Bifidobacterium_catenulatum,Clostridium_lavalense,0.0598,-,0.029,No
Bifidobacterium_catenulatum,Lachnoclostridium_sp_An118,0.0455,+,0.025,No
Bifidobacterium_catenulatum,Lachnoclostridium_sp_An14,0.0539,+,0.023,No
Bifidobacterium_catenulatum,Lachnospiraceae_bacterium_2_1_46FAA,0.0746,+,0.01,No
Bifidobacterium_catenulatum,Lachnospiraceae_bacterium_oral_taxon_096,0.0562,+,0.005,No
Bifidobacterium_catenulatum,Marvinbryantia_formatexigens,0.0506,+,0.003,No
Bifidobacterium_catenulatum,Robinsoniella_sp_RHS,0.0821,+,0.006,No
Bifidobacterium_catenulatum,Roseburia_faecis,0.0896,-,0.002,Yes
Bifidobacterium_catenulatum,Roseburia_hominis,0.0709,-,0.015,No
Bifidobacterium_catenulatum,Roseburia_intestinalis,0.0874,-,0.006,Yes
Bifidobacterium_catenulatum,Roseburia_inulinivorans,0.1117,-,0.002,Yes
Bifidobacterium_catenulatum,Roseburia_sp_CAG_303,0.0598,+,0.008,No
Bifidobacterium_catenulatum,Oscillibacter_sp_57_20,0.0778,-,0.007,No
Bifidobacterium_catenulatum,Oscillibacter_sp_CAG_241,0.1046,-,0.001,No
Bifidobacterium_catenulatum,Oscillibacter_sp_PC13,0.04,+,0.02,No
Bifidobacterium_catenulatum,Peptococcus_niger,0.0586,+,0.005,No
Bifidobacterium_catenulatum,Clostridioides_difficile,0.0946,+,0.004,No
Bifidobacterium_catenulatum,Clostridium_hiranonis,0.0677,+,0.015,No
Bifidobacterium_catenulatum,Peptostreptococcus_anaerobius,0.0592,+,0.016,No
Bifidobacterium_catenulatum,Peptostreptococcus_stomatis,0.0534,+,0.012,No
Bifidobacterium_catenulatum,Romboutsia_ilealis,0.0449,+,0.035,No
Bifidobacterium_catenulatum,Agathobaculum_butyriciproducens,0.0848,-,0.002,No
Bifidobacterium_catenulatum,Anaerofilum_sp_An201,0.0433,+,0.015,No
Bifidobacterium_catenulatum,Anaeromassilibacillus_sp_An172,0.048,+,0.012,No
Bifidobacterium_catenulatum,Anaerotruncus_sp_CAG_528,0.0493,+,0.027,No
Bifidobacterium_catenulatum,Faecalibacterium_prausnitzii,0.0811,-,0.026,Yes
Bifidobacterium_catenulatum,Gemmiger_formicilis,0.0914,-,0.002,No
Bifidobacterium_catenulatum,Gemmiger_sp_An120,0.0735,+,0.008,No
Bifidobacterium_catenulatum,Gemmiger_sp_An87,0.0679,+,0.012,No
Bifidobacterium_catenulatum,Clostridium_leptum,0.1188,-,0.001,Yes
Bifidobacterium_catenulatum,Eubacterium_siraeum,0.1059,-,0.003,No
Bifidobacterium_catenulatum,Ruminococcus_bromii,0.075,-,0.01,No
Bifidobacterium_catenulatum,Ruminococcus_lactaris,0.0692,-,0.021,Yes
Bifidobacterium_catenulatum,Ruminococcus_obeum_CAG_39,0.0486,+,0.034,No
Bifidobacterium_catenulatum,Ruminococcus_sp_CAG_330,0.0328,+,0.024,No
Bifidobacterium_catenulatum,Ruminococcus_sp_CAG_403,0.0257,+,0.032,No
Bifidobacterium_catenulatum,Ruminococcus_sp_CAG_488,0.0707,+,0.006,No
Bifidobacterium_catenulatum,Ruminococcus_sp_CAG_563,0.0712,+,0.004,No
Bifidobacterium_catenulatum,Ruminococcus_sp_CAG_624,0.05,+,0.004,No
Bifidobacterium_catenulatum,Erysipelothrix_larvae,0.0652,+,0.013,No
Bifidobacterium_catenulatum,Faecalicoccus_pleomorphus,0.0431,+,0.015,No
Bifidobacterium_catenulatum,Holdemania_filiformis,0.0742,-,0.012,No
Bifidobacterium_catenulatum,Massiliomicrobiota_timonensis,0.04,+,0.036,No
Bifidobacterium_catenulatum,Firmicutes_bacterium_CAG_145,0.0561,-,0.041,No
Bifidobacterium_catenulatum,Firmicutes_bacterium_CAG_170,0.0368,+,0.022,No
Bifidobacterium_catenulatum,Firmicutes_bacterium_CAG_238,0.086,+,0.007,No
Bifidobacterium_catenulatum,Firmicutes_bacterium_CAG_555,0.0448,+,0.006,No
Bifidobacterium_catenulatum,Firmicutes_bacterium_CAG_646,0.0414,+,0.041,No
Bifidobacterium_catenulatum,Firmicutes_bacterium_CAG_83,0.0797,-,0.006,No
Bifidobacterium_catenulatum,Firmicutes_bacterium_CAG_94,0.0811,-,0.006,No
Bifidobacterium_catenulatum,Megamonas_funiformis,0.0309,+,0.03,No
Bifidobacterium_catenulatum,Megamonas_funiformis_CAG_377,0.0322,+,0.028,No
Bifidobacterium_catenulatum,Megamonas_hypermegale,0.0334,+,0.034,No
Bifidobacterium_catenulatum,Mitsuokella_jalaludinii,0.0754,+,0.007,No
Bifidobacterium_catenulatum,Mitsuokella_multacida,0.0843,+,0.007,No
Bifidobacterium_catenulatum,Anaeroglobus_geminatus,0.0535,+,0.011,No
Bifidobacterium_catenulatum,Megasphaera_elsdenii,0.0474,+,0.024,No
Bifidobacterium_catenulatum,Megasphaera_micronuciformis,0.0812,+,0.003,No
Bifidobacterium_catenulatum,Megasphaera_stantonii,0.0882,+,0.003,No
Bifidobacterium_catenulatum,Veillonella_seminalis,0.0797,+,0.015,No
Bifidobacterium_catenulatum,Veillonella_sp_CAG_933,0.0934,+,0.012,No
Bifidobacterium_catenulatum,Veillonella_sp_T11011_6,0.0585,+,0.02,No
Bifidobacterium_catenulatum,Veillonella_tobetsuensis,0.0486,+,0.021,No
Bifidobacterium_catenulatum,Parvimonas_micra,0.0672,+,0.006,No
Bifidobacterium_catenulatum,Peptoniphilus_coxii,0.0636,+,0.004,No
Bifidobacterium_catenulatum,Peptoniphilus_harei,0.0852,+,0.007,No
Bifidobacterium_catenulatum,Fusobacterium_mortiferum,0.054,+,0.008,No
Bifidobacterium_catenulatum,Fusobacterium_naviforme,0.0454,+,0.007,No
Bifidobacterium_catenulatum,Fusobacterium_nucleatum,0.075,+,0.007,No
Bifidobacterium_catenulatum,Fusobacterium_sp_CAG_439,0.0481,+,0.017,No
Bifidobacterium_catenulatum,Fusobacterium_ulcerans,0.0676,+,0.024,No
Bifidobacterium_catenulatum,Fusobacterium_varium,0.0895,+,0.019,No
Bifidobacterium_catenulatum,Victivallis_vadensis,0.0386,+,0.016,No
Bifidobacterium_catenulatum,Oligella_urethralis,0.0625,+,0.002,No
Bifidobacterium_catenulatum,Lautropia_mirabilis,0.0678,+,0.005,No
Bifidobacterium_catenulatum,Comamonas_kerstersii,0.081,+,0.009,No
Bifidobacterium_catenulatum,Parasutterella_excrementihominis,0.0636,-,0.026,No
Bifidobacterium_catenulatum,Bilophila_wadsworthia,0.0839,-,0.003,No
Bifidobacterium_catenulatum,Desulfovibrionaceae_bacterium,0.0391,+,0.028,No
Bifidobacterium_catenulatum,Campylobacter_concisus,0.0787,+,0.005,No
Bifidobacterium_catenulatum,Campylobacter_gracilis,0.0833,+,0.023,No
Bifidobacterium_catenulatum,Campylobacter_hominis,0.0654,+,0.005,No
Bifidobacterium_catenulatum,Aeromonas_allosaccharophila,0.0749,+,0.008,No
Bifidobacterium_catenulatum,Aeromonas_veronii,0.0722,+,0.005,No
Bifidobacterium_catenulatum,Anaerobiospirillum_thomasii,0.0868,+,0.007,No
Bifidobacterium_catenulatum,Succinatimonas_hippei,0.0692,+,0.003,No
Bifidobacterium_catenulatum,Citrobacter_amalonaticus,0.0885,+,0.006,No
Bifidobacterium_catenulatum,Citrobacter_braakii,0.043,+,0.007,No
Bifidobacterium_catenulatum,Citrobacter_europaeus,0.0554,+,0.004,No
Bifidobacterium_catenulatum,Citrobacter_farmeri,0.057,+,0.01,No
Bifidobacterium_catenulatum,Citrobacter_freundii,0.0751,+,0.023,No
Bifidobacterium_catenulatum,Citrobacter_koseri,0.0617,+,0.01,No
Bifidobacterium_catenulatum,Citrobacter_pasteurii,0.0666,+,0.002,No
Bifidobacterium_catenulatum,Citrobacter_portucalensis,0.0855,+,0.006,No
Bifidobacterium_catenulatum,Citrobacter_werkmanii,0.0779,+,0.01,No
Bifidobacterium_catenulatum,Citrobacter_youngae,0.0916,+,0.023,No
Bifidobacterium_catenulatum,Enterobacter_cloacae_complex,0.0273,+,0.039,No
Bifidobacterium_catenulatum,Enterobacter_mori,0.0582,+,0.005,No
Bifidobacterium_catenulatum,Klebsiella_aerogenes,0.0248,+,0.028,No
Bifidobacterium_catenulatum,Klebsiella_michiganensis,0.0246,+,0.018,No
Bifidobacterium_catenulatum,Klebsiella_pneumoniae,0.0872,+,0.011,Yes
Bifidobacterium_catenulatum,Klebsiella_quasipneumoniae,0.1033,+,0.011,Yes
Bifidobacterium_catenulatum,Klebsiella_variicola,0.0872,+,0.017,No
Bifidobacterium_catenulatum,Kluyvera_ascorbata,0.0592,+,0.012,No
Bifidobacterium_catenulatum,Pluralibacter_gergoviae,0.0662,+,0.004,No
Bifidobacterium_catenulatum,Raoultella_ornithinolytica,0.0745,+,0.006,No
Bifidobacterium_catenulatum,Raoultella_planticola,0.0729,+,0.01,No
Bifidobacterium_catenulatum,Hafnia_paralvei,0.0626,+,0.011,No
Bifidobacterium_catenulatum,Morganella_morganii,0.0952,+,0.007,No
Bifidobacterium_catenulatum,Proteus_mirabilis,0.0819,+,0.02,No
Bifidobacterium_catenulatum,Aggregatibacter_segnis,0.0586,+,0.002,No
Bifidobacterium_catenulatum,Haemophilus_sputorum,0.0668,+,0.018,No
Bifidobacterium_catenulatum,Pseudomonas_aeruginosa_group,0.0554,+,0.011,No
Bifidobacterium_catenulatum,Pseudomonas_fragi,0.0698,+,0.007,No
Bifidobacterium_catenulatum,Pseudomonas_helleri,0.0667,+,0.004,No
Bifidobacterium_catenulatum,Fretibacterium_fastidiosum,0.0616,+,0.006,No
Bifidobacterium_catenulatum,Pyramidobacter_piscolens,0.0541,+,0.01,No
Bifidobacterium_catenulatum,Pyramidobacter_sp_C12_8,0.0696,+,0.01,No
Bifidobacterium_catenulatum,Candida_albicans,0.0567,+,0.004,No
Bifidobacterium_catenulatum,Saccharomyces_cerevisiae,0.0522,+,0.01,No
Bifidobacterium_catenulatum,Blastocystis_sp_subtype_1,0.083,+,0.006,No
Bifidobacterium_dentium,Bifidobacterium_longum,0.1244,+,0.049,Yes
Bifidobacterium_dentium,Gardnerella_vaginalis,0.0883,-,0.027,Yes
Bifidobacterium_dentium,Scardovia_wiggsiae,0.1562,+,0.002,Yes
Bifidobacterium_dentium,Corynebacterium_coyleae,0.0816,-,0.004,Yes
Bifidobacterium_dentium,Rothia_dentocariosa,0.3933,+,0.001,Yes
Bifidobacterium_dentium,Rothia_mucilaginosa,0.196,+,0.001,Yes
Bifidobacterium_dentium,Propionibacterium_acidifaciens,0.1101,+,0.005,Yes
Bifidobacterium_dentium,Atopobium_deltae,0.0969,-,0.014,Yes
Bifidobacterium_dentium,Atopobium_vaginae,0.0979,-,0.026,Yes
Bifidobacterium_dentium,Collinsella_massiliensis,0.1358,+,0.014,Yes
Bifidobacterium_dentium,Bacteroides_sartorii,0.0855,-,0.028,Yes
Bifidobacterium_dentium,Bacteroides_sp_CAG_530,0.0719,-,0.048,Yes
Bifidobacterium_dentium,Bacteroides_stercorirosoris,0.0808,-,0.031,Yes
Bifidobacterium_dentium,Barnesiella_viscericola,0.064,-,0.027,Yes
Bifidobacterium_dentium,Dysgonomonas_gadei,0.07,-,0.009,Yes
Bifidobacterium_dentium,Porphyromonas_sp_HMSC065F10,0.085,-,0.039,Yes
Bifidobacterium_dentium,Porphyromonas_uenonis,0.0761,-,0.04,Yes
Bifidobacterium_dentium,Sanguibacteroides_justesenii,0.0674,-,0.026,Yes
Bifidobacterium_dentium,Prevotella_bivia,0.0971,-,0.033,Yes
Bifidobacterium_dentium,Prevotella_buccae,0.077,-,0.025,Yes
Bifidobacterium_dentium,Prevotella_sp_AM42_24,0.0962,-,0.035,Yes
Bifidobacterium_dentium,Prevotella_sp_CAG_1031,0.1135,-,0.037,Yes
Bifidobacterium_dentium,Alistipes_sp_An31A,0.0699,-,0.01,Yes
Bifidobacterium_dentium,Alistipes_sp_An66,0.0766,-,0.017,Yes
Bifidobacterium_dentium,Alistipes_timonensis,0.1167,-,0.027,Yes
Bifidobacterium_dentium,Parabacteroides_sp_426_9,0.0759,-,0.025,Yes
Bifidobacterium_dentium,Parabacteroides_sp_CAG_409,0.1038,-,0.036,Yes
Bifidobacterium_dentium,Bacillus_coagulans,0.0654,-,0.012,Yes
Bifidobacterium_dentium,Bacillus_horneckiae,0.0687,-,0.027,Yes
Bifidobacterium_dentium,Gemella_sanguinis,0.172,+,0.005,Yes
Bifidobacterium_dentium,Staphylococcus_aureus,0.0672,-,0.012,Yes
Bifidobacterium_dentium,Enterococcus_casseliflavus,0.0753,-,0.027,Yes
Bifidobacterium_dentium,Enterococcus_faecalis,0.1487,+,0.011,Yes
Bifidobacterium_dentium,Lactobacillus_acidophilus,0.0626,-,0.048,Yes
Bifidobacterium_dentium,Lactobacillus_crispatus,0.0942,+,0.02,Yes
Bifidobacterium_dentium,Lactobacillus_delbrueckii,0.0988,-,0.033,Yes
Bifidobacterium_dentium,Lactobacillus_fermentum,0.2921,+,0.001,Yes
Bifidobacterium_dentium,Lactobacillus_fuchuensis,0.0553,-,0.036,Yes
Bifidobacterium_dentium,Lactobacillus_gasseri,0.1382,+,0.005,Yes
Bifidobacterium_dentium,Lactobacillus_oris,0.1448,+,0.006,Yes
Bifidobacterium_dentium,Lactobacillus_paragasseri,0.2053,+,0.001,Yes
Bifidobacterium_dentium,Lactobacillus_plantarum,0.1729,+,0.002,Yes
Bifidobacterium_dentium,Lactobacillus_rhamnosus,0.2245,+,0.001,Yes
Bifidobacterium_dentium,Lactobacillus_sakei,0.0868,-,0.033,Yes
Bifidobacterium_dentium,Lactobacillus_salivarius,0.1692,+,0.006,Yes
Bifidobacterium_dentium,Lactobacillus_vaginalis,0.222,+,0.001,Yes
Bifidobacterium_dentium,Pediococcus_argentinicus,0.0674,-,0.02,Yes
Bifidobacterium_dentium,Leuconostoc_carnosum,0.067,-,0.031,Yes
Bifidobacterium_dentium,Leuconostoc_citreum,0.0897,-,0.018,Yes
Bifidobacterium_dentium,Leuconostoc_gelidum,0.0991,-,0.02,Yes
Bifidobacterium_dentium,Leuconostoc_lactis,0.0742,-,0.027,Yes
Bifidobacterium_dentium,Weissella_cibaria,0.1039,+,0.016,Yes
Bifidobacterium_dentium,Weissella_confusa,0.1228,+,0.014,Yes
Bifidobacterium_dentium,Streptococcus_anginosus_group,0.2574,+,0.001,Yes
Bifidobacterium_dentium,Streptococcus_cristatus,0.1019,+,0.018,Yes
Bifidobacterium_dentium,Streptococcus_downei,0.0721,-,0.033,Yes
Bifidobacterium_dentium,Streptococcus_gordonii,0.266,+,0.001,Yes
Bifidobacterium_dentium,Streptococcus_infantarius,0.0758,-,0.008,Yes
Bifidobacterium_dentium,Streptococcus_infantis,0.1191,+,0.034,Yes
Bifidobacterium_dentium,Streptococcus_mutans,0.3534,+,0.001,Yes
Bifidobacterium_dentium,Streptococcus_oralis,0.2799,+,0.001,Yes
Bifidobacterium_dentium,Streptococcus_parasanguinis,0.2522,+,0.001,Yes
Bifidobacterium_dentium,Streptococcus_pasteurianus,0.093,-,0.04,Yes
Bifidobacterium_dentium,Streptococcus_salivarius,0.2122,+,0.001,Yes
Bifidobacterium_dentium,Streptococcus_sanguinis,0.2057,+,0.001,Yes
Bifidobacterium_dentium,Streptococcus_sp_HPH0090,0.0693,-,0.039,Yes
Bifidobacterium_dentium,Streptococcus_vestibularis,0.3811,+,0.001,Yes
Bifidobacterium_dentium,Butyricicoccus_porcorum,0.0711,-,0.003,Yes
Bifidobacterium_dentium,Clostridium_sp_CAG_411,0.0961,-,0.033,Yes
